Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID,Resource Type
Archived Automated Snow Station Data,archived-automated-snow-station-data,Dataset,5e7acd31-b242-4f09-8a64-000af872d68f,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-22,2016-03-16,The [British Columbia Automated Snow Pillow Networ...,onGoing,"http://pub.data.gov.bc.ca/datasets/5e7acd31-b242-4f09-8a64-000af872d68f/hourly_asp_archive.csv,", csv, Download Archived Hourly Automated Snow Data, 3fbd9a69-c488-4669-9896-d075f213c786, Data
Archived Automated Snow Station Data,archived-automated-snow-station-data,Dataset,5e7acd31-b242-4f09-8a64-000af872d68f,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-22,2016-03-16,The [British Columbia Automated Snow Pillow Networ...,onGoing,https://catalogue.data.gov.bc.ca/dataset/5e7acd31-b242-4f09-8a64-000af872d68f/resource/945c144a-d094-4a20-a3c6-9fe74cad368a/download/daily.csv, csv, Daily archived (compressed), 945c144a-d094-4a20-a3c6-9fe74cad368a, Data
Current Year Automated Snow Pillow Survey Data,current-year-automated-snow-pillow-survey-data,Dataset,3a34bdd1-61b2-4687-8b55-c5db5e13ff50,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-05,2015-10-05,The [British Columbia Automated Snow Pillow Survey...,onGoing,"http://bcrfc.env.gov.bc.ca/data/asp/realtime/data/SW.csv,",csv,snow water equivilent,fe591e21-7ffd-45f4-b3b3-2291e4a6de15,Data
Current Year Automated Snow Pillow Survey Data,current-year-automated-snow-pillow-survey-data,Dataset,3a34bdd1-61b2-4687-8b55-c5db5e13ff50,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-05,2015-10-05,The [British Columbia Automated Snow Pillow Survey...,onGoing,"http://bcrfc.env.gov.bc.ca/data/asp/realtime/data/SD.csv,", csv, snow depth, abba1811-dd9a-4447-a297-2b5f81410abd, Data
Current Year Automated Snow Pillow Survey Data,current-year-automated-snow-pillow-survey-data,Dataset,3a34bdd1-61b2-4687-8b55-c5db5e13ff50,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-05,2015-10-05,The [British Columbia Automated Snow Pillow Survey...,onGoing,"http://bcrfc.env.gov.bc.ca/data/asp/realtime/data/PC.csv,", csv, cumulative precipitation, 9f048a78-d74c-40c1-aa1f-9e2fcd1a19dd, Data
Current Year Automated Snow Pillow Survey Data,current-year-automated-snow-pillow-survey-data,Dataset,3a34bdd1-61b2-4687-8b55-c5db5e13ff50,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-05,2015-10-05,The [British Columbia Automated Snow Pillow Survey...,onGoing,http://bcrfc.env.gov.bc.ca/data/asp/realtime/data/TA.csv, csv, air temperature, 0bc026a2-7487-4f01-8b97-16d1b591a82f, Data
Prospectors Reports Old,prospectors-reports-old,Dataset,78b58de7-0a1a-4645-9b7d-46e290f20d40,195dd739-2df9-4dc7-b5ab-1f6a71a3b50f,"Ministry Of Energy And Mines, BC Geological Survey",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-09-01,2016-03-08,Under the Prospectors Assistance Program (now disc...,completed,https://catalogue.data.gov.bc.ca/dataset/78b58de7-0a1a-4645-9b7d-46e290f20d40/resource/5c0ff288-0ae6-43f4-8a4e-680311abb6c9/download/Prospectorsprospectors1994-2001.csv,csv,Prospectorsprospectors1994-2001,5c0ff288-0ae6-43f4-8a4e-680311abb6c9,Data
BC Schools - Satisfaction Survey - Consolidated,bc-schools-satisfaction-survey-consolidated,Dataset,1347d1d4-4dd3-4fb3-aa28-823199b71f11,eef3ecb6-911a-4e3e-bba5-62d95bc99a25,"Ministry Of Education, Analysis and Reporting",Education,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-31,2015-08-31,Consolidated Satisfaction Survey questions and res...,onGoing,"http://www.bced.gov.bc.ca/reporting/odefiles/likert_responses_consolidated_allyears.txt,",txt,likert_responses_consolidated_allyears.txt,65962ac1-1160-43eb-9112-5b3962850643,Data
BC Schools - Satisfaction Survey - Consolidated,bc-schools-satisfaction-survey-consolidated,Dataset,1347d1d4-4dd3-4fb3-aa28-823199b71f11,eef3ecb6-911a-4e3e-bba5-62d95bc99a25,"Ministry Of Education, Analysis and Reporting",Education,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-31,2015-08-31,Consolidated Satisfaction Survey questions and res...,onGoing,"http://www.bced.gov.bc.ca/reporting/odefiles/likert_responses_consolidated_2011to2014.xlsx,", xlsx, likert_responses_consolidated_2011to2014.xlsx, 487d2041-3f25-4a07-80ff-b24a36781246, Data
BC Schools - Satisfaction Survey - Consolidated,bc-schools-satisfaction-survey-consolidated,Dataset,1347d1d4-4dd3-4fb3-aa28-823199b71f11,eef3ecb6-911a-4e3e-bba5-62d95bc99a25,"Ministry Of Education, Analysis and Reporting",Education,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-31,2015-08-31,Consolidated Satisfaction Survey questions and res...,onGoing,"http://www.bced.gov.bc.ca/reporting/odefiles/likert_responses_consolidated_2006to2010.xlsx,", xlsx, likert_responses_consolidated_2006to2010.xlsx, 5215e759-d2cb-45bf-b5b5-f05c71aaf892, Data
BC Schools - Satisfaction Survey - Consolidated,bc-schools-satisfaction-survey-consolidated,Dataset,1347d1d4-4dd3-4fb3-aa28-823199b71f11,eef3ecb6-911a-4e3e-bba5-62d95bc99a25,"Ministry Of Education, Analysis and Reporting",Education,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-31,2015-08-31,Consolidated Satisfaction Survey questions and res...,onGoing,http://www.bced.gov.bc.ca/reporting/odefiles/likert_responses_consolidated_2001to2005.xlsx, xlsx, likert_responses_consolidated_2001to2005.xlsx, eab27a7e-0df7-44a4-978f-215be5a2606e, Data
BC Schools - Satisfaction Survey - Consolidated (Alternate Responses),bc-schools-satisfaction-survey-consolidated-alternate-responses-,Dataset,e1300bac-fe25-4121-9b5d-81aca8f27be3,eef3ecb6-911a-4e3e-bba5-62d95bc99a25,"Ministry Of Education, Analysis and Reporting",Education,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-31,2015-08-31,Consolidated Satisfaction Survey dataset for alter...,onGoing,"http://www.bced.gov.bc.ca/reporting/odefiles/Alternate_responses_consolidated.txt,",txt,Alternate_responses_consolidated.txt,e14eb873-405e-44df-96cb-fc0a9673eb1b,Data
BC Schools - Satisfaction Survey - Consolidated (Alternate Responses),bc-schools-satisfaction-survey-consolidated-alternate-responses-,Dataset,e1300bac-fe25-4121-9b5d-81aca8f27be3,eef3ecb6-911a-4e3e-bba5-62d95bc99a25,"Ministry Of Education, Analysis and Reporting",Education,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-31,2015-08-31,Consolidated Satisfaction Survey dataset for alter...,onGoing,http://www.bced.gov.bc.ca/reporting/odefiles/Alternate_responses_consolidated.xlsx, xlsx, Alternate_responses_consolidated.xlsx, 90ca7e08-9bb7-4709-9538-013fbccc1c4f, Data
Manual Snow Survey Observations Data Archive,manual-snow-survey-observations-data-archive,Dataset,705df46f-e9d6-4124-bc4a-66f54c07b228,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-21,2015-10-08,This data file contains the archived snow pack lev...,onGoing,https://catalogue.data.gov.bc.ca/dataset/705df46f-e9d6-4124-bc4a-66f54c07b228/resource/64a9b121-d1d1-40b6-b8c1-ad23d0a9024c/download/allmssdata19352015.csv,csv,all_mss_data_1935-2015,64a9b121-d1d1-40b6-b8c1-ad23d0a9024c,Data
BC Ambient Air Quality Standards Reporting Results: Ozone,bc-ambient-air-quality-standards-reporting-results-ozone,Dataset,9b7a9e74-9274-4f97-be81-ce4ee475077d,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-18,2016-03-02,This dataset contains the results of the '[Status ...,completed,https://catalogue.data.gov.bc.ca/dataset/9b7a9e74-9274-4f97-be81-ce4ee475077d/resource/f8923733-6dfe-47b7-bc57-aaa8f176c67c/download/ozonesitesummary.csv,csv,ozone_site_summary,f8923733-6dfe-47b7-bc57-aaa8f176c67c,Data
BC Ambient Air Quality Standards Reporting Results: Fine Particulate Matter,bc-ambient-air-quality-standards-reporting-results-fine-particulate-matter,Dataset,699be99e-a9ba-403e-b0fe-3d13f84f45ab,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-18,2016-02-24,This dataset contains the results of the '[Status ...,completed,https://catalogue.data.gov.bc.ca/dataset/699be99e-a9ba-403e-b0fe-3d13f84f45ab/resource/bfa3fdd8-2950-4d3a-b190-52fb39a5ffd4/download/pm25sitesummary.csv,csv,pm25_site_summary,bfa3fdd8-2950-4d3a-b190-52fb39a5ffd4,Data
Long-term Change in Air Temperature and Precipitation in BC,long-term-change-in-air-temperature-and-precipitation-in-bc,Dataset,86f93096-8d3d-4b68-ab63-175cc68257e6,3772cd8e-a74c-4c1e-810c-8610e923b223,"Ministry Of Environment, Climate Action Secretariat",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-12,2016-03-08,These datasets contain the results reported in a s...,completed,"https://catalogue.data.gov.bc.ca/dataset/86f93096-8d3d-4b68-ab63-175cc68257e6/resource/31b4473e-819e-4c04-becd-655837f05fb5/download/precipitationchange19002013.csv,",csv,precipitation_change_1900-2013,31b4473e-819e-4c04-becd-655837f05fb5,Data
Long-term Change in Air Temperature and Precipitation in BC,long-term-change-in-air-temperature-and-precipitation-in-bc,Dataset,86f93096-8d3d-4b68-ab63-175cc68257e6,3772cd8e-a74c-4c1e-810c-8610e923b223,"Ministry Of Environment, Climate Action Secretariat",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-08-12,2016-03-08,These datasets contain the results reported in a s...,completed,https://catalogue.data.gov.bc.ca/dataset/86f93096-8d3d-4b68-ab63-175cc68257e6/resource/2ea26a15-8420-4d85-bba0-742b8c1a4dc2/download/temperaturechange19002013.csv, csv, temperature_change_1900-2013, 2ea26a15-8420-4d85-bba0-742b8c1a4dc2, Data
BC Species and Ecosystems Conservation Status Information,bc-species-and-ecosystems-conservation-status-information,Dataset,d3651b8c-f560-48f7-a34e-26b0afc77d84,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-07-09,2015-07-09,These tabular data files contain the historical co...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/d3651b8c-f560-48f7-a34e-26b0afc77d84/resource/bbacd6fb-6708-4cf8-b353-0dc5ef75b7b9/download/bcseecommunities.csv,",csv,BCSEE_Communities,bbacd6fb-6708-4cf8-b353-0dc5ef75b7b9,Data
BC Species and Ecosystems Conservation Status Information,bc-species-and-ecosystems-conservation-status-information,Dataset,d3651b8c-f560-48f7-a34e-26b0afc77d84,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-07-09,2015-07-09,These tabular data files contain the historical co...,onGoing,https://catalogue.data.gov.bc.ca/dataset/d3651b8c-f560-48f7-a34e-26b0afc77d84/resource/39aa3eb8-da10-49c5-8230-a3b5fd0006a9/download/bcseeplantsanimals.csv, csv, BCSEE_Plants_Animals, 39aa3eb8-da10-49c5-8230-a3b5fd0006a9, Data
BC Finance - British Columbia Australian Issues Outstanding,bc-finance-british-columbia-australian-issues-outstanding,Dataset,e723c1f6-cd9b-4954-9dfc-75c8094e2cb5,81228285-d824-417c-baa9-bc86aa80b67d,"Ministry Of Finance, Debt Management",Finance,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-06-03,2015-06-03,Provincial gross long-term Australian dollar debt ...,completed,http://www.fin.gov.bc.ca/PT/dmb/databc/aussie.csv,csv,BC Finance - British Columbia Australian Bonds Outstanding,a2220ef6-2d44-4940-8d97-fae43bda94ea,Reports
"Courts - Completed Court Cases – Dashboard Data - by court level, division, class and locations",courts-completed-court-cases-dashboard-data-by-court-level-division-class-and-locations,Dataset,e861c2cb-97d3-427f-89de-80005f9d8c34,2ab2ab74-57c0-47f8-bb2e-c88dfb24f504,"Ministry Of Justice, Court Services",Justice,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-05-25,2015-05-25,Completed court cases indicates the number of Prov...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/e861c2cb-97d3-427f-89de-80005f9d8c34/resource/eb5faad1-def1-450f-a82f-169edee6a5aa/download/courtscompletedcourtcases5yrlocationreportdashboarddatafy200910to201314.xlsx,",xlsx,Courts-Completed_Court_Cases-5Yr_Location_Report-Dashboard_Data-FY_2009-10_to_ 2013-14,eb5faad1-def1-450f-a82f-169edee6a5aa,Data
"Courts - Completed Court Cases – Dashboard Data - by court level, division, class and locations",courts-completed-court-cases-dashboard-data-by-court-level-division-class-and-locations,Dataset,e861c2cb-97d3-427f-89de-80005f9d8c34,2ab2ab74-57c0-47f8-bb2e-c88dfb24f504,"Ministry Of Justice, Court Services",Justice,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-05-25,2015-05-25,Completed court cases indicates the number of Prov...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/e861c2cb-97d3-427f-89de-80005f9d8c34/resource/629c10cf-b893-4626-be30-28f221bc7ad0/download/courtscompletedcourtcases5yrlocationreportdashboarddatafy200910to201314.csv,", csv, Courts-Completed_Court_Cases-5Yr_Location_Report-Dashboard_Data-FY_ 2009-10_to_2013-14, 629c10cf-b893-4626-be30-28f221bc7ad0, Data
"Courts - Completed Court Cases – Dashboard Data - by court level, division, class and locations",courts-completed-court-cases-dashboard-data-by-court-level-division-class-and-locations,Dataset,e861c2cb-97d3-427f-89de-80005f9d8c34,2ab2ab74-57c0-47f8-bb2e-c88dfb24f504,"Ministry Of Justice, Court Services",Justice,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-05-25,2015-05-25,Completed court cases indicates the number of Prov...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/e861c2cb-97d3-427f-89de-80005f9d8c34/resource/d3d0d53d-7d7a-4a85-8c5e-844eb2e4db61/download/courtscompletedcourtcases5yrlocationreportdashboarddatacalyr2010to2014.xlsx,", xlsx, Courts_Completed_Court_Cases-5Yr_Location_Report-Dashboard_Data-CalYr_2010_to_2014, d3d0d53d-7d7a-4a85-8c5e-844eb2e4db61, Data
"Courts - Completed Court Cases – Dashboard Data - by court level, division, class and locations",courts-completed-court-cases-dashboard-data-by-court-level-division-class-and-locations,Dataset,e861c2cb-97d3-427f-89de-80005f9d8c34,2ab2ab74-57c0-47f8-bb2e-c88dfb24f504,"Ministry Of Justice, Court Services",Justice,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-05-25,2015-05-25,Completed court cases indicates the number of Prov...,onGoing,https://catalogue.data.gov.bc.ca/dataset/e861c2cb-97d3-427f-89de-80005f9d8c34/resource/6a83fe2f-200c-4fa5-b59c-2792f7217707/download/courtscompletedcourtcases5yrlocationreportdashboarddatacalyr2010to2014.csv, csv, Courts_Completed_Court_Cases-5Yr_Location_Report-Dashboard_Data-CalYr_2010_to_2014, 6a83fe2f-200c-4fa5-b59c-2792f7217707, Data
Terrestrial Ecosystem Information (TEI) Data Distribution Packages,terrestrial-ecosystem-information-tei-data-distribution-packages,Dataset,8fd15e4e-e7b1-4566-81d1-1ff8947bfd46,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2015-04-17,2015-06-08,The TEI Data Distribution packages in this folder ...,completed,http://www.env.gov.bc.ca/esd/distdata/ecosystems/TEI/TEI_Data/,other,TEI - Data Distribution Packages,93e33397-bea0-4dd5-bffc-6fd854643f82,Data
Motor Vehicle Serious Injuries by Road User Type,motor-vehicle-serious-injuries-by-role,Dataset,aa55daf2-34f3-4f67-bcdb-d0ca57e0c5c4,61f75a0b-7349-48cf-a1ab-46cb524a9725,"Ministry Of Public Safety And Solicitor General, RoadSafetyBC",Health and Safety,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-03-31,2016-03-30,The number of Motor Vehicle serious injuries in Br...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/aa55daf2-34f3-4f67-bcdb-d0ca57e0c5c4/resource/73b0d8fa-e5ab-4356-b62e-b60a40cbc67a/download/Motor-Vehicle-Serious-Injuries-by-Road-User-Type.xlsx,",xlsx,Motor Vehicle Serious Injuries by Road User Type,73b0d8fa-e5ab-4356-b62e-b60a40cbc67a,Data
Motor Vehicle Serious Injuries by Road User Type,motor-vehicle-serious-injuries-by-role,Dataset,aa55daf2-34f3-4f67-bcdb-d0ca57e0c5c4,61f75a0b-7349-48cf-a1ab-46cb524a9725,"Ministry Of Public Safety And Solicitor General, RoadSafetyBC",Health and Safety,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-03-31,2016-03-30,The number of Motor Vehicle serious injuries in Br...,onGoing,https://catalogue.data.gov.bc.ca/dataset/aa55daf2-34f3-4f67-bcdb-d0ca57e0c5c4/resource/c0ffaff2-01f8-4d99-a534-98c7f00a3ea5/download/Motor-Vehicle-Serious-Injuries-by-Road-User-Type.csv, csv, Motor Vehicle Serious Injuries by Road User Type, c0ffaff2-01f8-4d99-a534-98c7f00a3ea5, Data
Motor Vehicle Serious Injuries with Distraction Involvement,motor-vehicle-serious-injuries-with-distraction-involvement,Dataset,91d4f3e3-3c16-4f22-bb09-aafd0350659f,61f75a0b-7349-48cf-a1ab-46cb524a9725,"Ministry Of Public Safety And Solicitor General, RoadSafetyBC",Health and Safety,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-03-31,2016-03-30,The number of Motor Vehicle serious injuries in Br...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/91d4f3e3-3c16-4f22-bb09-aafd0350659f/resource/d631c401-3198-4f0f-a734-cbc25d9e7a7b/download/Motor-Vehicle-Serious-Injuries-with-Distraction-Involvement.csv,",xlsx,Motor Vehicle Serious Injuries with Distraction Involvement,d631c401-3198-4f0f-a734-cbc25d9e7a7b,Data
Motor Vehicle Serious Injuries with Distraction Involvement,motor-vehicle-serious-injuries-with-distraction-involvement,Dataset,91d4f3e3-3c16-4f22-bb09-aafd0350659f,61f75a0b-7349-48cf-a1ab-46cb524a9725,"Ministry Of Public Safety And Solicitor General, RoadSafetyBC",Health and Safety,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-03-31,2016-03-30,The number of Motor Vehicle serious injuries in Br...,onGoing,https://catalogue.data.gov.bc.ca/dataset/91d4f3e3-3c16-4f22-bb09-aafd0350659f/resource/00039030-21fb-4441-986c-03cb35d2f852/download/Motor-Vehicle-Serious-Injuries-with-Distraction-Involvement.csv, csv, Motor Vehicle Serious Injuries with Distraction Involvement, 00039030-21fb-4441-986c-03cb35d2f852, Data
Motor Vehicle Serious Injuries with Speeding Involvement,motor-vehicle-serious-injuries-with-speeding-involvement,Dataset,eb4e998f-3d1b-4257-a591-91e863344f0d,61f75a0b-7349-48cf-a1ab-46cb524a9725,"Ministry Of Public Safety And Solicitor General, RoadSafetyBC",Health and Safety,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-03-31,2016-03-30,The number of Motor Vehicle serious injuries in Br...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/eb4e998f-3d1b-4257-a591-91e863344f0d/resource/a3b81fb7-4384-4d8f-ad12-b8a3d1ea4a3e/download/Motor-Vehicle-Serious-Injuries-with-Speeding-Involvement.xlsx,",xlsx,Motor Vehicle Serious Injuries with Speeding Involvement,a3b81fb7-4384-4d8f-ad12-b8a3d1ea4a3e,Data
