Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID,Resource Type
Criminal Code Traffic Offences,criminal-code-traffic-offences,Dataset,ee9d4ee0-6a34-4dff-89e0-9add9a969168,b75a2c41-c6a0-4c4a-b933-084b76c18f9c,"Ministry Of Justice, Policing and Security",Justice,Statistics Canada,LOW-PUBLIC,Public,Public,2016-03-31,2016-03-31,Ten year trend in Criminal Code Traffic offences b...,completed,https://catalogue.data.gov.bc.ca/dataset/ee9d4ee0-6a34-4dff-89e0-9add9a969168/resource/93871f81-dc4e-4bab-a3a7-3c47d52e17ca/download/CCCDrivingoffences2004-2014.xlsx,xlsx,CCC_Driving_offences_2004-2014,93871f81-dc4e-4bab-a3a7-3c47d52e17ca,Data
Controlled Drugs and Substances Act Drug offences,controlled-drugs-and-substances-act-drug-offences,Dataset,da522ca8-df9e-4f17-8a49-2382ad547875,b75a2c41-c6a0-4c4a-b933-084b76c18f9c,"Ministry Of Justice, Policing and Security",Justice,Statistics Canada,LOW-PUBLIC,Public,Public,2016-03-31,2016-03-31,Ten year trend in Controlled Drugs and Substances ...,completed,https://catalogue.data.gov.bc.ca/dataset/da522ca8-df9e-4f17-8a49-2382ad547875/resource/e3a8f4bb-fe85-4080-bcf8-ab0e7be3ca71/download/CDSADrugoffences2004-2014.xlsx,xlsx,CDSA_Drug_offences_2004-2014,e3a8f4bb-fe85-4080-bcf8-ab0e7be3ca71,Data
British Columbia Greenhouse Gas Emissions ARCHIVE,british-columbia-greenhouse-gas-emissions-archive,Dataset,7ec1a555-122e-4173-9536-1731dfd63b5c,3772cd8e-a74c-4c1e-810c-8610e923b223,"Ministry Of Environment, Climate Action Secretariat",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-02-19,2016-03-09,British Columbia Greenhouse Gas Emissions (GHG) ar...,completed,"https://catalogue.data.gov.bc.ca/dataset/7ec1a555-122e-4173-9536-1731dfd63b5c/resource/e6b66aa3-e96d-4d0c-b51b-342a3580acdd/download/bcghgemissions1990-2012pub2014.csv,",csv,bc_ghg_emissions_1990-2012_pub2014,e6b66aa3-e96d-4d0c-b51b-342a3580acdd,Data
British Columbia Greenhouse Gas Emissions ARCHIVE,british-columbia-greenhouse-gas-emissions-archive,Dataset,7ec1a555-122e-4173-9536-1731dfd63b5c,3772cd8e-a74c-4c1e-810c-8610e923b223,"Ministry Of Environment, Climate Action Secretariat",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2016-02-19,2016-03-09,British Columbia Greenhouse Gas Emissions (GHG) ar...,completed,https://catalogue.data.gov.bc.ca/dataset/7ec1a555-122e-4173-9536-1731dfd63b5c/resource/2de97906-7e66-4d2a-84f4-02e42aef03c1/download/bcghgrelateddata1990-2012pub2014.csv, csv, bc_ghg_related_data_1990-2012_pub2014, 2de97906-7e66-4d2a-84f4-02e42aef03c1, Data
Community Safety and Crime Prevention Grants,community-safety-and-crime-prevention-grants,Dataset,40555709-fdc8-4d4c-bffe-1d5897fdf9cb,892b6e83-7680-4021-98a0-2afe654d6091,"Ministry Of Justice, Civil Forfeiture Office",Justice,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-12-23,2015-12-23,This dataset contains a listing of grant category ...,completed,https://catalogue.data.gov.bc.ca/dataset/40555709-fdc8-4d4c-bffe-1d5897fdf9cb/resource/de65cd42-fc0b-4bc0-8ea8-26fe1f0b47f8/download/civil-forfeiture-office-grants-.csv,csv,Civil Forfeiture Office Grants for Fiscal 2014-15,de65cd42-fc0b-4bc0-8ea8-26fe1f0b47f8,Data
Long-term Change in Growing Degree Days and Heating and Cooling Degree Days in BC,long-term-change-in-growing-degree-days-and-heating-and-cooling-degree-days-in-bc,Dataset,8f0d304e-161d-42e6-a982-cad13e60bd8f,3772cd8e-a74c-4c1e-810c-8610e923b223,"Ministry Of Environment, Climate Action Secretariat",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-12-01,2016-03-08,This data set contains the results reported in the...,completed,https://catalogue.data.gov.bc.ca/dataset/8f0d304e-161d-42e6-a982-cad13e60bd8f/resource/31d62c2b-ab92-49b5-89af-16ebda42aa98/download/growheatcooldegreedaychange1900-2013.csv,csv,degree_day_change_1900_2013,31d62c2b-ab92-49b5-89af-16ebda42aa98,Data
Change in Size of Glaciers in BC (1985-2005),change-in-size-of-glaciers-in-bc-1985-2005-,Dataset,89ff86d7-2d04-4c96-b945-ba56688906eb,3772cd8e-a74c-4c1e-810c-8610e923b223,"Ministry Of Environment, Climate Action Secretariat",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-12-01,2016-03-08,This data set contains the results reported in the...,completed,https://catalogue.data.gov.bc.ca/dataset/89ff86d7-2d04-4c96-b945-ba56688906eb/resource/bf6ba520-dcfd-4a6b-a822-963b77ff7848/download/glacierchange1985-2005.csv,csv,glacier_change_1985-2005,bf6ba520-dcfd-4a6b-a822-963b77ff7848,Data
Archived Automated Snow Station Data,archived-automated-snow-station-data,Dataset,5e7acd31-b242-4f09-8a64-000af872d68f,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-22,2016-03-16,The [British Columbia Automated Snow Pillow Networ...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/5e7acd31-b242-4f09-8a64-000af872d68f/resource/462076a4-63d5-43fc-ab5b-74298a5f6c8f/download/dailyasparchivetop100.csv,",csv,Preview Archived Daily Automated Snow Data,462076a4-63d5-43fc-ab5b-74298a5f6c8f,Data
Archived Automated Snow Station Data,archived-automated-snow-station-data,Dataset,5e7acd31-b242-4f09-8a64-000af872d68f,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-22,2016-03-16,The [British Columbia Automated Snow Pillow Networ...,onGoing,"http://pub.data.gov.bc.ca/datasets/5e7acd31-b242-4f09-8a64-000af872d68f/daily_asp_archive.csv,", csv, Download of Archived Daily Automated Snow Data, f4ec0b1f-f8ba-4601-8a11-cff6b6d988a4, Data
Archived Automated Snow Station Data,archived-automated-snow-station-data,Dataset,5e7acd31-b242-4f09-8a64-000af872d68f,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-10-22,2016-03-16,The [British Columbia Automated Snow Pillow Networ...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/5e7acd31-b242-4f09-8a64-000af872d68f/resource/35adfa06-78bf-4ebf-a6d8-8d671afbe457/download/hourlyasparchivetop100.csv,", csv, Preview Archived Hourly Automated Snow Data, 35adfa06-78bf-4ebf-a6d8-8d671afbe457, Data
