Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID
British Columbia Geographical Names Web Service - BCGNWS,british-columbia-geographical-names-web-service-bcgnws,WebService,eaad1179-f754-4491-8967-9bf15bc23ec8,dbf1cfef-52b7-4b87-a7b2-e8c3d8e8723d,"Ministry Of Forests Lands And Natural Resource Operations, Heritage",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2016-03-24,2016-03-31,This web service offers searchable access to geogr...,onGoing,https://apps.gov.bc.ca/pub/api/bcgnws/,html,https://apps.gov.bc.ca/pub/api/bcgnws/,f594fd84-0931-496b-bc6a-fbdb1d0c9a8d,
BC Route Planner,bc-route-planner,WebService,3dad0c30-ef32-4f4c-82fa-33787d5f85f8,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Government,Government,2016-03-23,2016-03-30,The BC Route Planner is a REST web service that of...,completed,"http://apps.gov.bc.ca/pub/api-explorer/?url=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/router/router.json,",html,API Console,6da9690e-a5f5-4b5a-8833-eafc46a47256,
BC Route Planner,bc-route-planner,WebService,3dad0c30-ef32-4f4c-82fa-33787d5f85f8,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Government,Government,2016-03-23,2016-03-30,The BC Route Planner is a REST web service that of...,completed,"https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/router/router.json,", json, API Specs, 82cd3194-0955-4d7e-b35a-78a98fda153a,
BC Route Planner,bc-route-planner,WebService,3dad0c30-ef32-4f4c-82fa-33787d5f85f8,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Government,Government,2016-03-23,2016-03-30,The BC Route Planner is a REST web service that of...,completed,http://api.gov.bc.ca/editor/#/?import=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/router/router.json, html, API Spec Editor, 3806ae83-cf43-4d7f-b7d1-76f2e0768afa,
BC Data Catalogue API,bc-data-catalogue-api,WebService,a2a2130b-e853-49e8-9b30-1d0c735aa3d9,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-11-27,2016-03-18,The live published metadata content of the BC Data...,onGoing,"http://apps.gov.bc.ca/pub/api-explorer/?url=https://catalogue.data.gov.bc.ca/dataset/a2a2130b-e853-49e8-9b30-1d0c735aa3d9/resource/0b9e7d31-91ff-4146-a473-106a3b301964/download/bcdc.json,",html,API Console,3fc94687-4693-4700-806b-120e64f8c10f,
BC Data Catalogue API,bc-data-catalogue-api,WebService,a2a2130b-e853-49e8-9b30-1d0c735aa3d9,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-11-27,2016-03-18,The live published metadata content of the BC Data...,onGoing,"https://catalogue.data.gov.bc.ca/dataset/a2a2130b-e853-49e8-9b30-1d0c735aa3d9/resource/0b9e7d31-91ff-4146-a473-106a3b301964/download/BCDC.json,", json, API Specs, 0b9e7d31-91ff-4146-a473-106a3b301964,
BC Data Catalogue API,bc-data-catalogue-api,WebService,a2a2130b-e853-49e8-9b30-1d0c735aa3d9,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-11-27,2016-03-18,The live published metadata content of the BC Data...,onGoing,http://api.gov.bc.ca/editor/#/?import=http://catalogue.data.gov.bc.ca/dataset/a2a2130b-e853-49e8-9b30-1d0c735aa3d9/resource/0b9e7d31-91ff-4146-a473-106a3b301964/download/bcdc.json, html, API Spec Editor, fe78561e-ccd3-4990-a3bc-165b1c4cfc9f,
Open511-DriveBC API,open511-drivebc-api,WebService,23a839e3-8fb4-4569-bb3d-c28a7621f687,6180e844-95af-4bca-a9d2-db2bc2983b20,"Ministry Of Transportation And Infrastructure, Information Management - TRAN",Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-09-14,2016-03-24,Provides real-time access to road event informatio...,completed,"http://api.open511.gov.bc.ca/help,",html,Open511 API,6667ea7d-933e-4329-9b13-6e6687c33ac9,
Open511-DriveBC API,open511-drivebc-api,WebService,23a839e3-8fb4-4569-bb3d-c28a7621f687,6180e844-95af-4bca-a9d2-db2bc2983b20,"Ministry Of Transportation And Infrastructure, Information Management - TRAN",Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-09-14,2016-03-24,Provides real-time access to road event informatio...,completed,"https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/open511/open511.json,", json, API Specs, e60b09d8-8dea-40b1-a139-81632b3d4273,
Open511-DriveBC API,open511-drivebc-api,WebService,23a839e3-8fb4-4569-bb3d-c28a7621f687,6180e844-95af-4bca-a9d2-db2bc2983b20,"Ministry Of Transportation And Infrastructure, Information Management - TRAN",Transportation,Open Government License - British Columbia,LOW-PUBLIC,Public,Public,2015-09-14,2016-03-24,Provides real-time access to road event informatio...,completed,http://api.gov.bc.ca/editor/#/?import=https://raw.githubusercontent.com/bcgov/DBC-APIM/master/api-specs/open511/open511.json, html, API Spec Editor, fe8b0f6c-8c4b-40ad-9751-49d28a4f7012,
Quick Base,quick-base,WebService,610b4a83-4cb6-49b4-9d6c-54bd16cb0996,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2015-04-28,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/base3?service=wms&request=getcapabilities&version=1.1.1,",xml,(DEPRECATED) - getCapabilities request,481d2960-0afe-47c2-a0a3-8b8ff0d92c05,
Quick Base,quick-base,WebService,610b4a83-4cb6-49b4-9d6c-54bd16cb0996,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2015-04-28,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/kml/BCGov_Quickbase_Loader.kml,", kml, KML with GroundOverlays for use in Google Earth, ed97357a-9071-436f-bcee-1ccccd14097b,
Quick Base,quick-base,WebService,610b4a83-4cb6-49b4-9d6c-54bd16cb0996,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2015-04-28,2016-01-27,DEPRECATED - The resource(s) that this record refe...,obsolete,"http://openmaps.gov.bc.ca/mapserver/base3?service=wms&VERSION=1.1.1&REQUEST=GetMap&SRS=EPSG:4326&LAYERS=Annotation,Base_Mapping_20K,Transportation_20K,Transportation_2M,Transportation_250K,BCGS_20K_GRID,NTS_250K_GRID,BCGS_10K_GRID,DBM_7H_MIL_POLITICAL&STYLES=&FORMAT=application/openlayers&BGCOLOR=0xFFFFFF&TRANSPARENT=TRUE&SRS=EPSG:3857&BBOX=-15861844.6733531,6047251.12541624,-12290709.730362,8450504.63265513&WIDTH=1217&HEIGHT=819", wms, (DEPRECATED) - WMS URL for use in viewers such as ESRI tools, 6ff1ea63-cd05-4038-8183-8eaa09fbc1f2,
Historic City of Vancouver Fire Insurance Map,historic-city-of-vancouver-fire-insurance-map,WebService,1dbc0b94-54c3-4d6b-a55f-340673a5056f,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2015-04-28,2015-11-24,This web service provides the 1912 Goads Fire Insu...,completed,http://openmaps.gov.bc.ca/ecwp/ecw_wms.dll?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.1.1&LAYERS=MAP_SCANS_VANCOUVER_HISTORICAL_MOSAIC,wms,Vancouver 1912 Goads Fire Insurance Map WMS,7d114acf-b0c5-4f3c-9f5c-896faf234514,
