old_keyword,action,new_keyword
0,remove,
12,remove,
50,remove,
2003,remove,
2004,remove,
2005,remove,
2006,remove,
2007,remove,
2008,remove,
2009,remove,
2010,remove,
2011,remove,
2012,remove,
2014,remove,
100 Mile,replace,100 Mile House
100 Mile house,replace,100 Mile House
100 Mile House Forest District,remove,
100 Mile House Forest District boundary,replace,101 Mile House
1st day of month,remove,
200 Year Event,replace,200 year event
25000 dollars or more,remove,
Abatement Fire Risk,replace,abatement fire risk
ABE,replace,adult basic education
Aboriginal,replace,aboriginal
Aboriginal Harvesting,replace,aboriginal harvesting
Aboriginal lands,replace,aboriginal lands
Aboriginal Relations,replace,aboriginal relations
Access Categories,replace,access categories
ACCESS CATS,replace,access cats
ACCESS FULL,replace,access full
Access Management Area,replace,access management area
ACCESS MGT,replace,access mgt
Access Road,replace,access road
Access Routes,replace,access routes
Access Strategies,replace,access strategies
Accommodation,replace,accommodation
accomocations,replace,accommodation
Accounting,replace,accounting
Acid Generation,replace,acid generation
Acid Rock Drainage,replace,acid rock drainage
Acid Water,replace,acid water
Acidic Water Geochemistry,replace,acidic water geochemistry
acommodation,replace,accommodation
Acquisition,replace,acquisition
Active Samples,replace,active sample
activities,replace,activity
addresses,replace,address
Administrative Boundaries,replace,administrative boundaries
Administrative Boundaries 1 1 Million,replace,administrative boundaries
Administrative Boundaries 1 1m,replace,administrative boundaries
Administrative Boundary,replace,administrative boundary
Administrative Divisions,replace,administrative division
Administrative Forest Boundaries,replace,administrative forest boundary
Administrative water boundaries,replace,administrative water boundary
admissions,replace,admission
admissions BC,replace,admission
Adult Custody,replace,adult custody
Advanced Argillic Alteration,replace,advanced argillic alteration
Advanced Education,replace,advanced education
Adventure Tourism,replace,adventure tourism
Advisory Report,replace,advisory report
Aerial Video survey NC,replace,aerial video survey
Aerial Video Survey WCVI,replace,aerial video survey
Agate,replace,agate
Age Dating,replace,age dating
Agency,replace,agency
Aggregate,replace,aggregate
Aging Out,replace,aging out
Agreement Areas,replace,agreement areas
Agreements,replace,agreements
Agricultural,replace,agricultural
Agriculture,replace,agriculture
Agriculture Capability,replace,agriculture capability
agriculture land reserve,replace,Agricultural Land Reserve
Air,replace,air
Air Photo,replace,air photo
Air Photos,replace,air photos
Air Quality,replace,air quality
Aircraft,replace,aircraft
Airfields,replace,airfield
Airport,replace,airport
Airports and heliports,replace,airports and heliports
Ajax Quartz Monzonite,replace,ajax quartz monzonite
alaska,replace,Alaska
alberta,replace,Alberta
ALC,replace,Agricultural Land Commission
Alcids,replace,alcid
alcoholic,replace,alcohol
Alcohol-Related,replace,alcohol-related
alexmack,replace,Alexander Mackenzie
Alienated Lands,replace,alienated lands
Alkalic Porphyry,replace,alkalic porphyry
Alkaline,replace,alkaline
Allocation,replace,allocation
Alluvium,replace,alluvium
Alpine Ski,replace,alpine ski
alr,replace,ALR
Alteration,replace,alteration
Alzheimers Disease,replace,Alzheimer's disease
AM Radio,replace,AM radio
Amber,replace,amber
amch,remove,
Amendment,replace,amendment
Amphibian,replace,amphibian
Amyotrophic Lateral Sclerosis and Multiple Sclerosis,replace,amyotrophic lateral sclerosis and multiple sclerosis
Anadromous,replace,anadromous
Analysis,replace,analysis
and Petroleum Resources,replace,Petroleum Resources
and services,replace,services
Annotation,replace,annotation
Annual Coal Production,replace,annual coal production
Annual Coal Values,replace,annual coal value
Annual Metal Production,replace,annual metal production
Annual Production,replace,annual production
Annual Review,replace,annual review
Annual Values,replace,annual value
Anomalous Mercury Bearing Stream,replace,anomalous mercury bearing stream
Anomaly,replace,anomaly
