"Current Discovery Organization", "Organization", "Sub-Organization", "Sector"
"BCAGENCY Agricultural Land Commission (ALC)", "BC Agency", "Agricultural Land Commission", "Natural Resources"
"BCAGENCY BC Assessment Authority", "BC Agency", "BC Assessment Authority", "Service"
"BCAGENCY BC Transmission Corporation (BCTC)", "BC Agency", "BC Hydro and Power Authority", "Service"
"BCAGENCY Destination BC", "BC Agency", "Destination BC", "Transportation"
"BCAGENCY Elections British Columbia (EBC)", "BC Agency", "Elections BC", "Service"
"BCAGENCY Environmental Assessment Office (EAO)", "Ministry of Environment", "Environmental Assessment Office", "Natural Resources"
"BCAGENCY Interior Health Authority (IHA)", "BC Agency", "Interior Health Authority", "Service"
"BCAGENCY Oil and Gas Commission (OGC)", "BC Agency", "Oil and Gas Commission", "Natural Resources"
"BCGOV AL CLAD Strategic Land Policy and Legislation Branch", "Ministry of Forests, Lands and Natural Resource Operations", "Strategic Land Policy and Legislation", "Natural Resources"
"BCGOV AL CLAD Strategic Land Policy and Legislation", "Ministry of Forests, Lands and Natural Resource Operations", "Strategic Land Policy and Legislation", "Natural Resources"
"BCGOV AVED Post Secondary Audit and Accountability Branch", "Ministry of Advanced Education", "Post Secondary Audit and Accountability", "Education"
"BCGOV AVED Post Secondary Audit and Accountability", "Ministry of Advanced Education", "Post-Secondary Audit and Accountability", "Education"
"BCGOV CSCD Local Government Division", "Ministry of Community, Sport and Cultural Development", "Local Government Division", "Economy"
"BCGOV ED Analysis and Reporting", "Ministry of Education", "Analysis and Reporting", "Education"
"BCGOV ED Governance and Legislation", "Ministry of Education", "Governance and Legislation", "Education"
"BCGOV EMPR BC Geological Survey Branch", "Ministry of Energy and Mines", "BC Geological Survey", "Natural Resources"
"BCGOV EMPR GeoScience and Natural Gas Development Branch", "Ministry of Energy and Mines", "Geoscience", "Natural Resources"
"BCGOV EMPR GeoScience and Natural Gas Development", "Ministry of Energy and Mines", "Geoscience", "Natural Resources"
"BCGOV EMPR Mining and Minerals Division", "Ministry of Energy and Mines", "Mines and Mineral Resources Division", "Natural Resources"
"BCGOV EMPR Offshore Oil and Gas", "Ministry of Energy and Mines", "Oil and Gas Division", "Natural Resources" 
"BCGOV EMPR Resource Development and Geoscience Branch", "Ministry of Energy and Mines", "Geoscience", "Natural Resources"
"BCGOV EMPR Resource Development and Geoscience", "Ministry of Energy and Mines", "Geoscience", "Natural Resources"
"BCGOV ENV Aquatic Information (MOE)", "Ministry of Environment", "Knowledge Management", "Natural Resources"
"BCGOV ENV Aquatic Information Branch (MOE)", "Ministry of Environment", "Knowledge Management", "Natural Resources"
"BCGOV ENV Business Services and Innovation Branch", "Ministry of Environment", "Business Services", "Service"
"BCGOV ENV Business Services and Innovation", "Ministry of Environment", "Business Services", "Service"
"BCGOV ENV Climate Action Secretariat", "Ministry of Environment", "Climate Action Secretariat", "Natural Resources"
"BCGOV ENV Conservation Officer Service", "Ministry of Environment", "Conservation Officer Service", "Natural Resources"
"BCGOV ENV Ecosystems Branch (MOE)", "Ministry of Environment", "Ecosystems", "Natural Resources"
"BCGOV ENV Environmental Management (MOE)", "Ministry of Environment", "Environmental Management", "Natural Resources"
"BCGOV ENV Environmental Management Branch (MOE)", "Ministry of Environment", "Environmental Management", "Natural Resources"
"BCGOV ENV Environmental Protection Division (MOE)", "Ministry of Environment", "Environmental Protection Division", "Natural Resources"
"BCGOV ENV Environmental Quality (MOE)", "Ministry of Environment", "Environmental Standards", "Natural Resources"
"BCGOV ENV Environmental Quality Branch (MOE)", "Ministry of Environment", "Environmental Standards", "Natural Resources"
"BCGOV ENV ES Division Regional Operations (MOE)", "Ministry of Environment", "Regional Operations", "Natural Resources"
"BCGOV ENV ES Division Regional Operations Branch (MOE)", "Ministry of Environment", "Regional Operations", "Natural Resources"
"BCGOV ENV Fish and Wildlife (MOE)", "Ministry of Forests, Lands and Natural Resource Operations", "Fish, Wildlife and Habitat Management", "Natural Resources"
"BCGOV ENV Fish and Wildlife Branch (MOE)", "Ministry of Forests, Lands and Natural Resource Operations", "Fish, Wildlife and Habitat Management", "Natural Resources"
"BCGOV ENV Fish and Wildlife Compensation Program (MOE)", "Ministry of Environment", "Fish and Wildlife Compensation Program", "Natural Resources"
"BCGOV ENV Fish and Wildlife Legislation and Regulations Section (MOE)", "Ministry of Forests, Lands and Natural Resource Operations", "Fish, Wildlife and Habitat Management", "Natural Resources"
"BCGOV ENV Fish and Wildlife Recreation and Allocation Branch (MOE)", "Ministry of Forests, Lands and Natural Resource Operations", "Fish, Wildlife and Habitat Management", "Natural Resources"
